0,1,2,3
1,1,76,76
1,1,39,39
1,1,57,57
11,11,32,32
12,12,10,10
12,12,87,87
13,13,15,15
13,13,55,55
14,14,5,5
15,15,48,48
15,15,52,52
16,16,72,72
17,17,17,17
17,17,37,37
17,17,9,9
18,18,18,18
18,18,38,38
18,18,13,13
19,19,3,3
2,2,38,38
2,2,116,116
20,20,8,8
21,21,11,11
3,3,23,23
4,4,13,13
4,4,5,5
4,4,17,17
7,7,50,50
7,7,54,54
7,7,23,23
9,9,43,43
9,9,20,20
9,9,15,15
1_numt,1,10,10
1_numt,1,10,10
1_numt,1,10,10
11_numt,11,10,10
12_numt,12,10,10
12_numt,12,10,10
13_numt,13,10,10
13_numt,13,10,10
14_numt,14,10,10
15_numt,15,10,10
15_numt,15,10,10
16_numt,16,10,10
17_numt,17,10,10
17_numt,17,10,10
17_numt,17,10,10
18_numt,18,10,10
18_numt,18,10,10
18_numt,18,10,10
19_numt,19,10,10
2_numt,2,10,10
2_numt,2,10,10
20_numt,20,10,10
21_numt,21,10,10
3_numt,3,10,10
4_numt,4,10,10
4_numt,4,10,10
4_numt,4,10,10
7_numt,7,10,10
7_numt,7,10,10
7_numt,7,10,10
9_numt,9,10,10
9_numt,9,10,10
9_numt,9,10,10
